Year-Month,Sub-Category,Sales_Goal
2022-09,Art,746.72
2022-09,Binders,9947.56
2022-09,Bookcases,6684.03
2022-09,Chairs,11911.69
2022-09,Copiers,5903.55
2022-09,Envelopes,780.47
2022-09,Fasteners,89.84
2022-09,Furnishings,3771.2
2022-09,Labels,361.62
2022-09,Machines,1724.95
2022-09,Paper,2304.54
2022-09,Phones,7343.46
2022-09,Storage,6951.35
2022-09,Supplies,105.95
2022-09,Tables,5878.13
2022-10,Accessories,3302.01
2022-10,Appliances,2741.46
2022-10,Art,409.96
2022-10,Binders,6611.99
2022-10,Bookcases,1401.2
2022-10,Chairs,5783.49
2022-10,Copiers,22613.5
2022-10,Envelopes,191.25
2022-10,Fasteners,178.38
2022-10,Furnishings,2507.47
2022-10,Labels,154.02
2022-10,Machines,1509.42
2022-10,Paper,1537.85
2022-10,Phones,3856.15
2022-10,Storage,4403.18
2022-10,Supplies,119.5
2022-10,Tables,2280.0
2022-11,Accessories,8068.63
2022-11,Appliances,2834.07
2022-11,Art,919.15
2022-11,Binders,5402.65
2022-11,Bookcases,5788.72
2022-11,Chairs,12721.91
2022-11,Copiers,1231.99
2022-11,Envelopes,765.59
2022-11,Fasteners,176.09
2022-11,Furnishings,3735.3
2022-11,Labels,842.94
2022-11,Machines,8147.01
2022-11,Paper,2160.56
2022-11,Phones,9359.54
2022-11,Storage,6608.6
2022-11,Supplies,345.04
2022-11,Tables,9475.13
2022-12,Accessories,5722.51
2022-12,Appliances,4911.3
2022-12,Art,403.55
2022-12,Binders,16165.17
2022-12,Bookcases,1468.25
2022-12,Chairs,13960.71
2022-12,Copiers,2370.13
2022-12,Envelopes,631.82
2022-12,Fasteners,126.75
2022-12,Furnishings,5396.44
2022-12,Labels,320.18
2022-12,Machines,264.99
2022-12,Paper,2299.1
2022-12,Phones,13818.26
2022-12,Storage,10993.9
2022-12,Supplies,1552.92
2022-12,Tables,15434.91
2023-01,Accessories,2180.29
2023-01,Appliances,2334.86
2023-01,Art,473.96
2023-01,Binders,10231.16
2023-01,Bookcases,271.77
2023-01,Chairs,2148.12
2023-01,Copiers,3183.67
2023-01,Envelopes,336.39
2023-01,Fasteners,40.32
2023-01,Furnishings,938.48
2023-01,Labels,22.15
2023-01,Machines,4093.94
2023-01,Paper,957.22
2023-01,Phones,7507.9
2023-01,Storage,3201.67
2023-01,Supplies,4527.95
2023-01,Tables,2256.04
2023-02,Accessories,2316.5
2023-02,Appliances,3671.74
2023-02,Art,266.88
2023-02,Binders,628.19
2023-02,Bookcases,1132.95
2023-02,Chairs,3273.06
2023-02,Copiers,0.0
2023-02,Envelopes,10.71
2023-02,Fasteners,65.33
2023-02,Furnishings,824.74
2023-02,Labels,29.77
2023-02,Machines,216.95
2023-02,Paper,1205.72
2023-02,Phones,3156.55
2023-02,Storage,1570.84
2023-02,Supplies,23.12
2023-02,Tables,1427.24
2023-03,Accessories,4026.25
2023-03,Appliances,2562.22
2023-03,Art,542.19
2023-03,Binders,3094.64
2023-03,Bookcases,1835.21
2023-03,Chairs,6649.39
2023-03,Copiers,21690.11
2023-03,Envelopes,542.4
2023-03,Fasteners,24.34
2023-03,Furnishings,1194.84
2023-03,Labels,214.41
2023-03,Machines,722.37
2023-03,Paper,2625.55
2023-03,Phones,7518.77
2023-03,Storage,3705.64
2023-03,Supplies,1883.8
2023-03,Tables,2529.51
2023-04,Accessories,2029.65
2023-04,Appliances,593.78
2023-04,Art,575.37
2023-04,Binders,4665.77
2023-04,Bookcases,2084.26
2023-04,Chairs,1967.69
2023-04,Copiers,0.0
2023-04,Envelopes,147.29
2023-04,Fasteners,30.0
2023-04,Furnishings,2449.09
2023-04,Labels,194.56
2023-04,Machines,7218.25
2023-04,Paper,1746.18
2023-04,Phones,2666.85
2023-04,Storage,5903.35
2023-04,Supplies,979.28
2023-04,Tables,2483.83
2023-05,Accessories,3988.65
2023-05,Appliances,2459.07
2023-05,Art,597.87
2023-05,Binders,3027.4
2023-05,Bookcases,4052.63
2023-05,Chairs,9765.2
2023-05,Copiers,3408.08
2023-05,Envelopes,324.35
2023-05,Fasteners,46.45
2023-05,Furnishings,1634.69
2023-05,Labels,372.69
2023-05,Machines,676.16
2023-05,Paper,1767.47
2023-05,Phones,5797.72
2023-05,Storage,4341.79
2023-05,Supplies,379.67
2023-05,Tables,2251.86
2023-06,Accessories,4927.62
2023-06,Appliances,2941.3
2023-06,Art,1015.26
2023-06,Binders,2442.86
2023-06,Bookcases,4833.19
2023-06,Chairs,8217.12
2023-06,Copiers,0.0
2023-06,Envelopes,74.41
2023-06,Fasteners,31.09
2023-06,Furnishings,1404.63
2023-06,Labels,191.47
2023-06,Machines,3679.1
2023-06,Paper,2361.76
2023-06,Phones,8777.54
2023-06,Storage,7847.95
2023-06,Supplies,110.08
2023-06,Tables,3682.33
2023-07,Accessories,7359.38
2023-07,Appliances,1314.56
2023-07,Art,924.16
2023-07,Binders,2732.84
2023-07,Bookcases,1572.52
2023-07,Chairs,4846.53
2023-07,Copiers,3784.99
2023-07,Envelopes,54.21
2023-07,Fasteners,12.6
2023-07,Furnishings,3544.84
2023-07,Labels,998.62
2023-07,Machines,3196.91
2023-07,Paper,1358.14
2023-07,Phones,9689.2
2023-07,Storage,2753.34
2023-07,Supplies,259.91
2023-07,Tables,2575.83
2023-08,Accessories,5273.8
2023-08,Appliances,7457.04
2023-08,Art,776.08
2023-08,Binders,12963.87
2023-08,Bookcases,494.8
2023-08,Chairs,9216.4
2023-08,Copiers,1254.69
2023-08,Envelopes,133.51
2023-08,Fasteners,66.03
2023-08,Furnishings,1414.39
2023-08,Labels,383.08
2023-08,Machines,1511.29
2023-08,Paper,2379.24
2023-08,Phones,9499.98
2023-08,Storage,7061.49
2023-08,Supplies,213.4
2023-08,Tables,4173.78
2023-09,Accessories,10518.01
2023-09,Appliances,3164.34
2023-09,Art,898.87
2023-09,Binders,13267.44
2023-09,Bookcases,3728.72
2023-09,Chairs,16353.26
2023-09,Copiers,296.9
2023-09,Envelopes,418.91
2023-09,Fasteners,162.54
2023-09,Furnishings,3071.35
2023-09,Labels,605.46
2023-09,Machines,1667.54
2023-09,Paper,4280.74
2023-09,Phones,14818.02
2023-09,Storage,4698.48
2023-09,Supplies,5271.47
2023-09,Tables,4985.23
2023-10,Accessories,5102.4
2023-10,Appliances,3577.79
2023-10,Art,690.63
2023-10,Binders,9834.95
2023-10,Bookcases,4341.85
2023-10,Chairs,4509.95
2023-10,Copiers,11976.02
2023-10,Envelopes,397.83
2023-10,Fasteners,5164.01
2023-10,Furnishings,1909.59
2023-10,Labels,365.34
2023-10,Machines,7447.62
2023-10,Paper,1928.71
2023-10,Phones,9175.79
2023-10,Storage,6293.76
2023-10,Supplies,77.01
2023-10,Tables,11570.77
2023-11,Accessories,7973.82
2023-11,Appliances,6537.88
2023-11,Art,1304.97
2023-11,Binders,7020.78
2023-11,Bookcases,2158.09
2023-11,Chairs,14272.47
2023-11,Copiers,12266.01
2023-11,Envelopes,565.03
2023-11,Fasteners,128.63
2023-11,Furnishings,6829.91
2023-11,Labels,208.17
2023-11,Machines,12023.55
2023-11,Paper,3271.67
2023-11,Phones,18702.66
2023-11,Storage,12940.69
2023-11,Supplies,457.89
2023-11,Tables,14195.89
2023-12,Accessories,5410.57
2023-12,Appliances,6786.94
2023-12,Art,833.4
2023-12,Binders,5623.64
2023-12,Bookcases,3732.09
2023-12,Chairs,14739.36
2023-12,Copiers,7013.87
2023-12,Envelopes,450.9
2023-12,Fasteners,297.53
2023-12,Furnishings,4482.7
2023-12,Labels,373.23
2023-12,Machines,1370.08
2023-12,Paper,4154.42
2023-12,Phones,8386.42
2023-12,Storage,11630.59
2023-12,Supplies,2784.39
2023-12,Tables,8801.98
